province,precipitation,elevation,rainy_days,Lake Area,Shoreline
Agusan del Norte,177.1416667,17.6,157,0,59
Albay,299.425,15.487,195,3063.24,354
Aurora,306.3041667,88.5,170,0,332
Batanes,191.9666667,145.5,146,0,188.66
Batangas,151.5083333,10.6,119,23477.59,492
Benguet,318.7,1510.08,152,3.36,0
Bohol,129.525,7.565,136,54.95,379.58
Bukidnon,220.1583333,689.5,189,0,0
Cagayan,170.6611111,26,125.3333333,40.55,570.34
Capiz,178.0833333,2.495,145,2.73,80
Catanduanes,265.6833333,31.574,180,0,315.46
Cavite,186.775,3,114,0,122.574
Cebu,140.4166667,25.703,138,750.37,840.15
Davao del Sur,152.9583333,17.29,136,16.22,273
Eastern Samar,382.8583333,2.4,223,0,211.31
Ilocos Norte,182.25,5.4,86,336.07,150.18
Ilocos Sur,181.0083333,58.129,97,4.74,157.63
Iloilo,173.7583333,5,132,4.9,269.43
Leyte,236.7166667,2.711,182,288.22,511
Maguindanao,201.1916667,44.9,165,7841.11,275
Masbate,168.8833333,8.831,146,1.66,614.19
Misamis Oriental,147.775,182,136,0,25
National Capital Region,209.5125,29,133.5,92709.79,190
Negros Oriental,110.2166667,7.048,124,141.96,300
Northern Samar,312.5583333,6.58,185,65.83,250
Nueva Ecija,145.6083333,32,111,95.89,0
Occidental Mindoro,199.0583333,3.314,117,41.85,334.8
Oriental Mindoro,200.6916667,40.5,156,8865.45,342.45
Palawan,171.5555556,26.89933333,123.6666667,1282.08,1959
Pangasinan,209.725,2,115,0,285.66
Quezon,291.5194444,56.56666667,186.3333333,76.61,1066.36
Rizal,232.8416667,646.05,162,90000,0
Romblon,198.2083333,176.55,155,0,54.99
Samar,249.25,5,181,0,800.6
South Cotabato,79.84166667,132.199,106,8630.79,0
Southern Leyte,194.9,72,153,16.58,441.31
Surigao del Sur,396.8,3,215,0,486
Zambales,293.5333333,12.3125,119.5,1023.5,232
Zamboanga del Norte,207.0166667,3.7921,162,5.98,400
