Province,Rainfall,Rainy Days,Avg. Temp,Elevation,Lake Area,Shoreline
Agusan del Norte,192.7333333,171,24,17.6,0,59
Albay,298.7833333,216,20.48333333,15.487,3063.24,354
Aurora,351.7833333,185,20.48333333,88.5,0,332
Batanes,279.3333333,152,26.5,145.5,0,188.66
Batangas,284.6333333,138,20.48333333,10.6,23477.59,492
Benguet,387.3166667,138,20.48333333,1510.08,3.36,0
Bohol,190.0166667,149,28.79166667,7.565,54.95,379.58
Bukidnon,271.6,200,24,689.5,0,0
Cagayan,238.4333333,122,26.5,26,40.55,570.34
Capiz,300.5166667,152,28.79166667,2.495,2.73,80
Catanduanes,334.9666667,208,20.48333333,31.574,0,315.46
Cavite,288.2166667,125,26.5,3,0,122.574
Cebu,310.75,155,28.79166667,25.703,750.37,840.15
Davao del Sur,221.5833333,149,24,17.29,16.22,273
Eastern Samar,289.85,243,28.79166667,2.4,0,211.31
Ilocos Norte,265.4666667,82,26.5,5.4,336.07,150.18
Ilocos Sur,333.0666667,90,26.5,58.129,4.74,157.63
Iloilo,292.1333333,140,28.79166667,5,4.9,269.43
Leyte,261.6166667,196,28.79166667,2.711,288.22,511
Maguindanao,244.7666667,170,24,44.9,7841.11,275
Masbate,257.3166667,168,20.48333333,8.831,1.66,614.19
Misamis Oriental,218.5166667,149,24,182,0,25
NCR,337.8833333,150,27.7,29,92709.79,190
Negros Oriental,238.1333333,136,28.79166667,7.048,141.96,300
Northern Samar,300.5166667,207,28.79166667,6.58,65.83,250
Nueva Ecija,295.4,118,20.48333333,32,95.89,0
Occidental Mindoro,345.4333333,135,28.79166667,3.314,41.85,334.8
Oriental Mindoro,330.8,178,28.79166667,40.5,8865.45,342.45
Palawan,265.1,137,20.48333333,26.89933333,1282.08,1959
Pangasinan,348.65,117,26.42666667,2,0,285.66
Quezon,363.5833333,216,26.42666667,56.56666667,76.61,1066.36
Rizal,418.65,201,20.48333333,646.05,90000,0
Romblon,305.0333333,173,20.48333333,176.55,0,54.99
Samar,287.5,201,28.79166667,5,0,800.6
South Cotabato,161.5,114,24,132.199,8630.79,0
Southern Leyte,244.9166667,166,28.79166667,72,16.58,441.31
Surigao del Sur,233.7666667,235,23.18333333,3,0,486
Zambales,437.25,141,20.48333333,12.3125,1023.5,232
Zamboanga del Norte,237.0333333,174,23.18333333,3.7921,5.98,400
